Name	Species	Assembly	Full name	Source
Ccos.d101g	Ccos	d101g	Chymomyza costata	Kim BY et al., 2021
Daca.d101g	Daca	d101g	Drosophila acanthoptera	Kim BY et al., 2021
Dalb.GCF_009650485	Dalb	GCF_009650485	Drosophila albomicans	NCBI RefSeq
Damb.d101g	Damb	d101g	Drosophila ambigua	Kim BY et al., 2021
Dame.d101g	Dame	d101g	Drosophila americana	Kim BY et al., 2021
Dana.d101g	Dana	d101g	Drosophila ananassae	Kim BY et al., 2021
Dana.d15genomes	Dana	d15genomes	Drosophila ananassae	Miller DE et al., 2018
Dana.droAna2	Dana	droAna2	Drosophila ananassae	UCSC
Dana.GCF_003285975	Dana	GCF_003285975	Drosophila ananassae	NCBI RefSeq
Dana.GCF_017639315	Dana	GCF_017639315	Drosophila ananassae	NCBI RefSeq
Dara.d101g	Dara	d101g	Drosophila arawakana	Kim BY et al., 2021
Dari.GCF_001654025	Dari	GCF_001654025	Drosophila arizonae	NCBI RefSeq
Dath.GCA_008121215	Dath	GCA_008121215	Drosophila athabasca	NCBI GenBank
Dazt.GCA_005876895	Dazt	GCA_005876895	Drosophila azteca	NCBI GenBank
Dbia.d101g	Dbia	d101g	Drosophila biarmipes	Kim BY et al., 2021
Dbia.d15genomes	Dbia	d15genomes	Drosophila biarmipes	Miller DE et al., 2018
Dbia.GCF_000233415	Dbia	GCF_000233415	Drosophila biarmipes	NCBI RefSeq
Dbia.GCF_018148935	Dbia	GCF_018148935	Drosophila biarmipes	NCBI RefSeq
Dbif.GCA_009664405	Dbif	GCA_009664405	Drosophila bifasciata	NCBI GenBank
Dbip.d101g	Dbip	d101g	Drosophila bipectinata	Kim BY et al., 2021
Dbip.d15genomes	Dbip	d15genomes	Drosophila bipectinata	Miller DE et al., 2018
Dbip.GCF_000236285	Dbip	GCF_000236285	Drosophila bipectinata	NCBI RefSeq
Dbip.GCF_018153845	Dbip	GCF_018153845	Drosophila bipectinata	NCBI RefSeq
Dbir.GCA_008042755	Dbir	GCA_008042755	Drosophila birchii	NCBI GenBank
