	species	chr	start	end	bin_start	bin_end	length
0	Dyak.droYak2	chr3R	0	10	0	1000000	1000000
1	Dyak.droYak2	chr3L	235	241	23500000	24197627	697627
2	Dyak.droYak2	chr2R	0	15	0	1500000	1500000
3	Dyak.droYak2	chr2L	205	223	20500000	22324452	1824452
4	Dyak.GCF_016746365	chr3R	0	30	0	3000000	3000000
5	Dyak.GCF_016746365	chr3L	230	251	23000000	25180761	2180761
6	Dyak.GCF_016746365	chr2R	0	40	0	4000000	4000000
7	Dyak.GCF_016746365	chr2L	205	310	20500000	31000000	10500000
8	Dyak.GCF_000005975	chr3R	0	10	0	1000000	1000000
9	Dyak.GCF_000005975	chr3L	235	241	23500000	24197627	697627
10	Dyak.GCF_000005975	chr2R	0	15	0	1500000	1500000
11	Dyak.GCF_000005975	chr2L	205	223	20500000	22324452	1824452
12	Dtei.GCF_016746235	chr3R	0	40	0	4000000	4000000
13	Dtei.GCF_016746235	chr3L	230	245	23000000	24551875	1551875
14	Dtei.GCF_016746235	chr2R	0	35	0	3500000	3500000
15	Dtei.GCF_016746235	chr2L	215	282	21500000	28277466	6777466
16	Dsubp.GCF_014743375	chr3R	200	202	20000000	20233744	233744
17	Dsubp.GCF_014743375	chr3L	0	35	0	3500000	3500000
18	Dsubp.GCF_014743375	chr2R	220	221	22000000	22167719	167719
19	Dsubp.GCF_014743375	chr2L	0	20	0	2000000	2000000
20	Dsim.droSim1	chr3R	275	275	27500000	27517382	17382
21	Dsim.droSim1	chr3L	225	225	22500000	22553184	53184
22	Dsim.droSim1	chr2R	0	5	0	500000	500000
23	Dsim.droSim1	chr2L	210	220	21000000	22036055	1036055
24	Dsim.GCF_016746395	chr3R	0	10	0	1000000	1000000
25	Dsim.GCF_016746395	chr3L	225	233	22500000	23399919	899919
26	Dsim.GCF_016746395	chr2R	0	35	0	3500000	3500000
27	Dsim.GCF_016746395	chr2L	210	238	21000000	23857432	2857432
28	Dsim.GCF_000754195	chr3L	225	241	22500000	24153973	1653973
29	Dsim.GCF_000754195	chr2R	0	25	0	2500000	2500000
30	Dsim.GCF_000754195	chr2L	215	235	21500000	23539531	2039531
31	Dsec.GCF_004382195	chr3R	0	35	0	3500000	3500000
32	Dsec.GCF_004382195	chr3L	225	281	22500000	28131630	5631630
33	Dsec.GCF_004382195	chr2R	0	25	0	2500000	2500000
34	Dsec.GCF_004382195	chr2L	210	249	21000000	24956976	3956976
35	Dsan.GCF_016746245	chr3R	0	15	0	1500000	1500000
36	Dsan.GCF_016746245	chr3L	230	256	23000000	25621868	2621868
37	Dsan.GCF_016746245	chr2R	0	40	0	4000000	4000000
38	Dsan.GCF_016746245	chr2L	205	279	20500000	27915280	7415280
39	Dmel.dm6	chr3R	0	45	0	4500000	4500000
40	Dmel.dm6	chr3L	230	281	23000000	28110227	5110227
41	Dmel.dm6	chr2R	0	65	0	6500000	6500000
42	Dmel.dm6	chr2L	215	235	21500000	23513712	2013712
43	Dmau.GCF_004382145	chr3R	0	15	0	1500000	1500000
44	Dmau.GCF_004382145	chr3L	225	261	22500000	26143691	3643691
45	Dmau.GCF_004382145	chr2R	0	45	0	4500000	4500000
46	Dmau.GCF_004382145	chr2L	205	242	20500000	24228064	3728064
